alpha,arrivals_early,arrivals_late,arrivals_on_time,beta,capacity,config,distance_total,exec_s,gamma,history_last,lambda_weight,length_speed_kph,max_operation_time,min_travel_minutes,mu_weight,n_ants,n_iters,objective_cost,pct_on_time,penalty_alpha,penalty_beta,penalty_capacity,penalty_gamma,penalty_time,penalty_total,penalty_window,q,rho,run,scenario,status,targets,time_factor,total_time,unload_time,weight
1.0,1,0,9,2.0,20.0,length_gamma1.3,5196.557521533378,0.23364386499997636,1.3,5268.441634601582,1.0,18.0,600.0,1.5,1.0,30,80,5268.441634601582,90.0,1.0,1.0,0.0,1.0,0.0,71.88411306820382,71.88411306820382,100.0,0.5,2,E1_small,ok,10,5.0,259.6280533933219,10,length
1.0,1,0,9,2.0,20.0,length_rho0.3,5196.557521533378,0.23426276600002893,1.0,5268.441634601582,1.0,18.0,600.0,1.5,1.0,30,80,5268.441634601582,90.0,1.0,1.0,0.0,1.0,0.0,71.88411306820382,71.88411306820382,100.0,0.3,2,E1_small,ok,10,5.0,259.6280533933219,10,length
1.0,1,0,9,2.0,20.0,length_rho0.7,5196.557521533378,0.23173976500038407,1.0,5268.441634601582,1.0,18.0,600.0,1.5,1.0,30,80,5268.441634601582,90.0,1.0,1.0,0.0,1.0,0.0,71.88411306820382,71.88411306820382,100.0,0.7,2,E1_small,ok,10,5.0,259.6280533933219,10,length
1.0,2,0,8,2.0,20.0,street_time_base,539.8334398138719,0.21621712199976173,1.0,633.2307969137404,1.0,18.0,600.0,1.5,1.0,30,80,633.2307969137404,80.0,1.0,1.0,0.0,1.0,0.0,93.39735709986849,93.39735709986849,100.0,0.5,2,E1_small,ok,10,5.0,239.7738715742264,10,street_time
1.0,2,0,8,2.0,20.0,street_time_ants20,453.60919437116013,0.14311616600025445,1.0,537.3037410474649,1.0,18.0,600.0,1.5,1.0,20,80,537.3037410474649,80.0,1.0,1.0,0.0,1.0,0.0,83.69454667630475,83.69454667630475,100.0,0.5,2,E1_small,ok,10,5.0,222.88570736377017,10,street_time
1.0,3,0,7,2.0,20.0,street_time_ants40,467.6004783578685,0.28085135000037553,1.0,602.4349941715312,1.0,18.0,600.0,1.5,1.0,40,80,602.4349941715312,70.0,1.0,1.0,0.0,1.0,0.0,134.83451581366273,134.83451581366273,100.0,0.5,2,E1_small,ok,10,5.0,275.1916168333537,10,street_time
1.0,1,0,9,2.0,20.0,street_time_iters50,456.8527317906188,0.13895499099999142,1.0,568.7651636295063,1.0,18.0,600.0,1.5,1.0,30,50,568.7651636295063,90.0,1.0,1.0,0.0,1.0,0.0,111.91243183888753,111.91243183888753,100.0,0.5,2,E1_small,ok,10,5.0,251.37388731130773,10,street_time
1.0,2,0,8,2.0,20.0,street_time_iters120,453.60919437116013,0.3159084470007656,1.0,537.3037410474649,1.0,18.0,600.0,1.5,1.0,30,120,537.3037410474649,80.0,1.0,1.0,0.0,1.0,0.0,83.69454667630475,83.69454667630475,100.0,0.5,2,E1_small,ok,10,5.0,222.88570736377017,10,street_time
0.8,2,0,8,2.0,20.0,street_time_alpha0.8,442.38713412118193,0.21431119800035958,1.0,527.016852484985,1.0,18.0,600.0,1.5,1.0,30,80,527.016852484985,80.0,1.0,1.0,0.0,1.0,0.0,84.62971836380302,84.62971836380302,100.0,0.5,2,E1_small,ok,10,5.0,222.88570736377017,10,street_time
1.2,1,0,9,2.0,20.0,street_time_alpha1.2,447.4753388728321,0.21692377700037468,1.0,559.3877707117197,1.0,18.0,600.0,1.5,1.0,30,80,559.3877707117197,90.0,1.0,1.0,0.0,1.0,0.0,111.91243183888753,111.91243183888753,100.0,0.5,2,E1_small,ok,10,5.0,250.5924379014922,10,street_time
1.0,3,0,7,1.5,20.0,street_time_beta1.5,467.5682570264464,0.21591721999993752,1.0,576.181640625123,1.0,18.0,600.0,1.5,1.0,30,80,576.181640625123,70.0,1.0,1.0,0.0,1.0,0.0,108.61338359867653,108.61338359867653,100.0,0.5,2,E1_small,ok,10,5.0,249.4987137277742,10,street_time
